Video ID,Video Link,Title,Description,Category Id,Category,Watched At
HE7Cuk8bQ68,https://www.youtube.com/watch?v=HE7Cuk8bQ68,मौलाना आझाद मोफत शिकवणी योजना,"* एक पाऊल प्रगतीचं,
अल्पसंख्याकांच्या विकासाचं!

अल्पसंख्याक विकास विभागाची
मौलाना आझाद मोफत शिकवणी योजना 

* योजनेअंतर्गत अल्पसंख्याक विद्यार्थ्यांना मिळतेय UPSC / MPSC / Banking / CET / NEET या अभ्यासक्रमांची मोफत शिकवणी 

* तब्बल ४००० विद्यार्थ्यांना मिळत आहे या योजनेचा लाभ 

* मुंबई, ठाणे, अमरावती, छत्रपती संभाजीनगर, नागपूर, पुणे व नाशिक येथे विद्यार्थांसाठी प्रशिक्षण केंद्रांची सुविधा

योजनांचा लाभ घेण्यासाठी जिल्हा अल्पसंख्याक अधिकारी तथा जिल्हा नियोजन अधिकारी कार्यालय किंवा आमची वेबसाईट https://mdd.maharashtra.gov.in किंवा हेल्पलाईन  क्रमांक 022-22650025 (कार्यालयीन कामकाज वेळात)  किंवा टोल फ्री क्रमांक 1800225786 वर संपर्क साधा.",22,People & Blogs,Watched at 5:46 AM
HXRmpmLIkUc,https://www.youtube.com/watch?v=HXRmpmLIkUc,Galaxy Z Fold6: Performance | Samsung,Experience the ultimate gaming experience on #GalaxyZFold6.Own now at ₹4584/month*. *T&C apply. #GalaxyAI #Samsung,28,Science & Technology,Watched at 5:46 AM
8c5MInIsYso,https://www.youtube.com/watch?v=8c5MInIsYso,Presenting PUNCH CAMO - Find your Vibe on the Go!,"Redefine your vibe and lifestyle with PUNCH CAMO 💚

Book now - https://cars.tatamotors.com/punch/ice/edition/camo.html

#NewPUNCH #PUNCHCAMO #CAMO #FindYourVibe #TataPUNCH #PUNCH #CAMO #TataMotorsPassengerVehicles",24,Entertainment,Watched at 5:46 AM
gf1uY3I6sQE,https://www.youtube.com/watch?v=gf1uY3I6sQE,"Manvat Murders | Streaming Now | Ashutosh, Sai, Sonali, Makarand | Hindi | Sony LIV","Unravel the chilling tale of the case that shook the nation in the 1970s. Join, special crime branch officer Ramakant Kulkarni as he investigates the series of murders and brings down the culprit in this gripping thriller.


Watch Manvat Murders streaming now only on Sony LIV!
 #ManvatMurdersOnSonyLIV #ManvatMurders
 Available in: Marathi, Hindi, Telugu, Tamil, Malayalam, Kannada, Bengali
 
Cast: Ashutosh Gowariker, Sai Tamhankar, Makarand Anaspure, Sonali Kulkarni, Kishor Kadam, Mayur Khandge
Director: Ashish Avinash Bende
Producer: Mahesh Kothare, Adinath Kothare
Story, Screenplay & Dialogue: Girish Joshi
DOP: Satyajeet Shobha Shreeram
Editor: Faisal Mahadik
Music: Saket Kanetkar
Sound Design: Shishir Chousalkar
Production Designer: Baban Adagale
Costume Designer: Nilima Kothare, Neeta Khandke, Charvi Naik                                                                                                                                                            
Casting Director: Yugandhar Deshpande
Executive Producer - Sanjay Dawara
 
Find Out More: https://www.sonyliv.com/ or click on the below links to download the Sony LIV app
•          Android Play Store: https://play.google.com/store/apps/details?id=com.sonyliv
•          App Store: https://itunes.apple.com/in/app/sonyliv-live-cricket-tv-movies/id587794258?mt=8
 Not a subscriber yet? Subscribe Now: https://www.sonyliv.com/subscription
 For more details, stay connected to us: 
•            Instagram – https://www.instagram.com/sonylivindia/
•            Facebook – https://www.facebook.com/SonyLIV
•            Twitter – https://twitter.com/SonyLIV",24,Entertainment,Watched at 5:32 AM
g3JrANAVE70,https://www.youtube.com/watch?v=g3JrANAVE70,DS9 India Hero Film 16x9 30s,,22,People & Blogs,Watched at 5:17 AM
bB6sHE-zwRU,https://www.youtube.com/watch?v=bB6sHE-zwRU,Ariel Liquids | 100 Stains | 20sec MARATHI,,24,Entertainment,Watched at 5:16 AM
tqrBttAIT7c,https://www.youtube.com/watch?v=tqrBttAIT7c,Keep your toilet guest-ready with Best Ever Harpic! | Marathi I 20sec,Wow your guests with a shiny clean toilet with the best ever Harpic. It gives lasting fragrance and 10X clean! So keep your toilet always guest-ready. Bring home your bottle today!,22,People & Blogs,Watched at 5:08 AM
NyEZgZSZlYQ,https://www.youtube.com/watch?v=NyEZgZSZlYQ,Johari - The Royal Saga | Havells Home Art Lights | A Story In Every Light,"Crafted to invoke your royal persona, Havells Home Art Lights presents the Johari collection. Forged in the firepit of grandeur, each piece of this collection is meticulously crafted to fit your taste for elegance. Check out the range at Havells Home Art Lights website.

#Havells #HavellsHomeArtLights #HomeArtLights #HavellsLights #AStoryInEveryLight",1,Film & Animation,Watched at 4:56 AM
KcRwxUQppjM,https://www.youtube.com/watch?v=KcRwxUQppjM,NEW SMOODH LASSI - Best Choice!,"New SMOODH Lassi is the perfect refreshment - So creamy! So delicious! So SMOODH!

OH SO SMOOOOOOODH!
Join us at https://www.instagram.com/smoodh.dairy/",22,People & Blogs,Watched at 4:56 AM
P6WeZfNciOc,https://www.youtube.com/watch?v=P6WeZfNciOc,Enjoy race-like performance in all road-like conditions with Motul | Hindi | 30 Seconds,"Turn your daily drive into a victory lap with Motul 300V, 8000Perfomax and 8100X-cess. Powered by Ester Core for unbeatable power and high-temperature stability, now you can experience race-like performance in all road-like conditions.  

#Motul #MotulIndia #Motul300V #Motul8000Perfomax #Motul8100Xcess #cars #carcare #luxurycars",22,People & Blogs,Watched at 4:43 AM
Eggg5x_4GNI,https://www.youtube.com/watch?v=Eggg5x_4GNI,L'Oreal Paris Hyaluron Moisture Range,,26,Howto & Style,Watched at 4:42 AM
-7aWyWWUMHg,https://www.youtube.com/watch?v=-7aWyWWUMHg,Get Ubtan Wala Glow Everyday with Mamaearth Ubtan Face Wash,"Want that ultimate ubtan wala glow, everyday just like Shilpa Shetty Kundra? Pamper your skin with the age-old tradition of Ubtan and let your dull, tanned skin rejuvenate and glow naturally with Mamaearth Ubtan Face Wash. It is enriched with the natural goodness of Turmeric and Saffron and is traditionally known to fight sun tan and brighten skin.

Hashtags: #GoodnessInside #Mamaearth #UbtanWalaGlowEveryday",22,People & Blogs,Watched at 4:02 AM
cYx4HOaIAB4,https://www.youtube.com/watch?v=cYx4HOaIAB4,BRU Gold - Premium Freeze-Dried Coffee,"Indulge in a spoonful of luxury with the new Bru Gold - Freeze-Dried Coffee!  Enjoy the intense coffee taste and a rich experience
It's not just a coffee, it's a spoonful of luxury!",24,Entertainment,Watched at 3:54 AM
1DZp5FDPaLg,https://www.youtube.com/watch?v=1DZp5FDPaLg,#BadalLifeKiRaftaar with NESCAFÉ,"Stepping up in life brings with it newness and excitement. As you step out of your home, many new challenges will come your way. Rise up to them with your partner, NESCAFÉ - as its time to #BadalLifeKiRaftaar

#NESCAFÉ #NESCAFÉClassic #NESCAFE #NESCAFEClassic #Coffee #coffee #coffeetime #coffeegram #coffeelover",22,People & Blogs,Watched at 3:50 AM
fLrwZQ8oo8Y,https://www.youtube.com/watch?v=fLrwZQ8oo8Y,Gold Boost 16x9 15s,Social media guidelines & legal info: http://rbnhd.co/social_media_disclosures,27,Education,Watched at 8:47 PM
